from,to,title,label,value,width,dashes,color
1,2,chef di Putin: <br> https://espresso.repubblica.it/mondo/2022/02/25/news/yevgeny_prigozhin_cuoco_putin_mercenari_russia-339185977/,,,,,
2,3,chef di Putin: <br> https://www.rainews.it/articoli/2022/02/yevgeny-prigozhin-lo-chef-di-putin-tra-troll-e-gruppi-armati-d3c0ee6c-92bd-4747-807e-757eca6e4ea1.html,,,,,
1,4,<br> https://www.corriere.it/economia/finanza/cards/oligarchi-russi-non-solo-abramovich-ecco-chi-sono-altri-seguaci-putin/alisher-usmanov.shtml,,,,,
3,5,https://www.valigiablu.it/gruppo-wagner-russia-ucraina/,,,,,
1,7,,,,,,
1,8,,,,,,
1,9,,,,,,
1,10,,,,,,
7,11,,,,,,
11,12,,,,,,
12,13,,,,,,
4,13,,,,,,
9,13,,,,,,
13,14,,,,,,
8,15,,,,,,
15,16,,,,,,
13,17,,,,,,
12,17,,,,,,
16,17,,,,,,
